,alwaysCooperate,alwaysDefect,angery,AngryPriest,antiJoss,antiJossDynamic,antiJossPeriodic,balance,balanceDynamic,best-estDetective,betterDetective,cleverDetective,clevererDetective,confusedTitForTat,conMan,defectFirstTitForTat,delayedDetective,detective,escalatingTitForTat,evilTitForTat,FallenAngel,FallenAngel2,fastDetective,fastDetectiveSimpleton,fodnprtthl,forgivingDefector,forgivingTitForTat,ftft,gradual,grimMoralTitForTat,grimTrigger,hygrit,joss,moralTitForTat,mostBestestDetective,ngrams2,ngrams2Betrayal,ngrams3,npctt,npfitt,npnntt,nprstt,nprtt-forgiveOnce,nprtt-halflife,nprtt-random,nprtt,nprttStudent-halflife,nprttStudent,nprttt,nprwtt,npwtt,oldFallenAngel,omega,opportunisticDefector-1,opportunisticDefector-2,opportunisticDefector-3,opportunisticDefector-4,opportunisticDefector-5,oracle,periodicCopycat,Priest,properOpportunisticDefector-3,punitiveDetective,punitiveSelfAwareTitForTat,randomChoice,randomHistory,reflectiveTitForTat,relaxedGrimMoralTitForTat,resilientTitForTat,selfAwareTitForTat,shortwindow,simpleton,smartJoss,smoughCopycat,smoughsKinderCopycat,sorryJoss,stopper,strictPunitiveDetective,switcher,tickedOffCopycat,titForTat,titForTatDelayed,uftft,ultimateDetective,ultimateDetectiveForgiveOnce,windowed,worst
alwaysCooperate,,0,3,3,3,3,3,3,3,0.03829787234042553191489361702,0.04347826086956521739130434783,0.04054054054054054054054054054,0.04347826086956521739130434783,0.01224489795918367346938775510,1.526785714285714285714285714,2.987068965517241379310344828,0.2297872340425531914893617021,0.03797468354430379746835443038,3,2.978260869565217391304347826,2.306859205776173285198555957,2.231707317073170731707317073,0.02803738317757009345794392523,0.02777777777777777777777777778,0.04265402843601895734597156398,2.009433962264150943396226415,3,3,3,3,3,3,2.632075471698113207547169811,3,0.03719008264462809917355371901,3,0.015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.009090909090909090909090909091,0.02112676056338028169014084507,0.02990033222591362126245847176,0.05882352941176470588235294118,0.075,1.855555555555555555555555556,3,3,0.04390243902439024390243902439,3,3,1.338289962825278810408921933,3,3,3,3,3,3,3,2.759541984732824427480916031,3,3,2.495049504950495049504950495,3,3,1.513274336283185840707964602,3,3,3,3,0.03272727272727272727272727273,0.03913043478260869565217391304,0.1492537313432835820895522388,0
alwaysDefect,5,,1.019801980198019801980198020,1.017391304347826086956521739,1.309677419354838709677419355,1.389105058365758754863813230,1.427184466019417475728155340,1.403669724770642201834862385,1.4,1.046511627906976744186046512,1.057971014492753623188405797,1.063492063492063492063492063,1.062745098039215686274509804,5,1.012383900928792569659442724,1,1.070796460176991150442477876,1.050209205020920502092050209,1.655462184873949579831932773,1,1.057142857142857142857142857,1.08,1.036866359447004608294930876,3,1.017621145374449339207048458,1.017543859649122807017543860,1.019512195121951219512195122,1.034334763948497854077253219,1.612099644128113879003558719,1.017094017094017094017094017,1.017316017316017316017316017,1.017857142857142857142857143,1.017543859649122807017543860,1.018867924528301886792452830,1.048582995951417004048582996,1.454976303317535545023696682,1.014760147601476014760147601,1.46,2.982608695652173913043478261,1.015564202334630350194552529,1.017167381974248927038626609,1.014336917562724014336917563,1.019417475728155339805825243,1.016393442622950819672131148,1.018604651162790697674418605,1.019230769230769230769230769,1.054545454545454545454545455,1.015267175572519083969465649,1.018348623853211009174311927,1.011627906976744186046511628,1.017621145374449339207048458,1.058394160583941605839416058,1.017241379310344827586206897,1.019047619047619047619047619,1.011142061281337047353760446,1.017467248908296943231441048,1.019417475728155339805825243,1.016064257028112449799196787,1.058139534883720930232558140,1.018957345971563981042654028,1.016194331983805668016194332,3,1.056603773584905660377358491,1.019417475728155339805825243,2.822580645161290322580645161,1.019801980198019801980198020,1.014388489208633093525179856,1.014084507042253521126760563,3.008968609865470852017937220,3.009216589861751152073732719,1.076923076923076923076923077,3.008810572687224669603524229,1.017316017316017316017316017,1.015748031496062992125984252,1.016666666666666666666666667,3.007782101167315175097276265,1.013513513513513513513513514,1.079470198675496688741721854,1.043956043956043956043956044,1.015686274509803921568627451,1.016597510373443983402489627,1.028776978417266187050359712,1.044943820224719101123595506,1.059113300492610837438423645,1.054054054054054054054054054,1.02,1
angery,3,0.9950495049504950495049504950,,3,3,3,3,3,3,2.996621621621621621621621622,2.995238095238095238095238095,2.995555555555555555555555556,2.996309963099630996309963100,2.789256198347107438016528926,2.857627118644067796610169492,2.490974729241877256317689531,2.995412844036697247706422018,2.995348837209302325581395349,3,1.014634146341463414634146341,2.997023809523809523809523810,2.996815286624203821656050955,2.995049504950495049504950495,2.995495495495495495495495495,1.020242914979757085020242915,2.656716417910447761194029851,3,3,3,3,3,3,1.269406392694063926940639269,3,2.995260663507109004739336493,3,1.004761904761904761904761905,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.003058103975535168195718654,1.013574660633484162895927602,1.021276595744680851063829787,1.032863849765258215962441315,1.034615384615384615384615385,2.744292237442922374429223744,3,3,2.780701754385964912280701754,3,3,2.826530612244897959183673469,3,3,3,3,3,3,3,2.85,3,3,2.990610328638497652582159624,3,3,2.493506493506493506493506494,3,3,3,3,2.995238095238095238095238095,2.995594713656387665198237885,1.132352941176470588235294118,0.9963235294117647058823529412
AngryPriest,3,0.9956521739130434782608695652,3,,3,3,3,3,3,2.996183206106870229007633588,2.995708154506437768240343348,2.988095238095238095238095238,2.985148514851485148514851485,4.626213592233009708737864078,2.857142857142857142857142857,2.984025559105431309904153355,2.988372093023255813953488372,2.995850622406639004149377593,3,2.971428571428571428571428571,2.988326848249027237354085603,2.986784140969162995594713656,2.995744680851063829787234043,2.996677740863787375415282392,1.038461538461538461538461538,2.667896678966789667896678967,3,3,3,3,3,3,2.543269230769230769230769231,3,2.996732026143790849673202614,3,1.037209302325581395348837209,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.02469135802469135802469135802,0.9843260188087774294670846395,1.034334763948497854077253219,1.091787439613526570048309179,1.100961538461538461538461538,2.514851485148514851485148515,3,3,2.5,3,3,2.972,3,3,3,3,3,3,3,2.811881188118811881188118812,3,3,2.989619377162629757785467128,3,3,1.156521739130434782608695652,3,3,3,3,2.986175115207373271889400922,2.987603305785123966942148760,2.260377358490566037735849057,0.9953703703703703703703703704
antiJoss,3,0.9225806451612903225806451613,3,3,,3,3,3,3,2.995145631067961165048543689,2.995495495495495495495495495,2.98828125,2.990099009900990099009900990,2.108,2.794392523364485981308411215,2.947368421052631578947368421,2.985074626865671641791044776,2.995475113122171945701357466,3,2.980676328502415458937198068,2.987394957983193277310924370,2.859574468085106382978723404,0.9128440366972477064220183486,2.995884773662551440329218107,1.760504201680672268907563025,2.580357142857142857142857143,3,3,3,3,3,3,2.258785942492012779552715655,3,2.995121951219512195121951220,3,1.960352422907488986784140969,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.8773234200743494423791821561,2.074235807860262008733624454,1.697095435684647302904564315,2.147169811320754716981132075,1.89,1.149253731343283582089552239,3,3,2.447115384615384615384615385,3,3,2.115384615384615384615384615,3,3,3,3,3,3,3,2.865217391304347826086956522,3,3,2.985714285714285714285714286,3,3,2.383763837638376383763837638,3,3,3,3,2.990683229813664596273291925,2.989655172413793103448275862,2.399209486166007905138339921,0.8591160220994475138121546961
antiJossDynamic,3,0.9027237354085603112840466926,3,3,3,,3,3,3,2.995,2.995762711864406779661016949,2.985849056603773584905660377,2.988142292490118577075098814,2.144796380090497737556561086,2.804878048780487804878048780,2.981132075471698113207547170,2.404332129963898916967509025,2.996865203761755485893416928,3,2.980295566502463054187192118,2.989285714285714285714285714,2.986842105263157894736842105,2.996415770609318996415770609,2.995475113122171945701357466,1.840707964601769911504424779,2.614349775784753363228699552,3,3,3,3,3,3,1.907834101382488479262672811,3,2.995327102803738317757009346,3,1.550458715596330275229357798,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.8904761904761904761904761905,1.892307692307692307692307692,1.349282296650717703349282297,1.980487804878048780487804878,2.057268722466960352422907489,2.665644171779141104294478528,3,3,2.394366197183098591549295775,3,3,2.116071428571428571428571429,3,3,3,3,3,3,3,2.866108786610878661087866109,3,3,2.985645933014354066985645933,3,3,2.414634146341463414634146341,3,3,3,3,2.985,2.987394957983193277310924370,2.323383084577114427860696517,0.8975
antiJossPeriodic,3,0.8932038834951456310679611650,3,3,3,3,,3,3,2.997023809523809523809523810,2.995,2.987951807228915662650602410,2.989130434782608695652173913,2.243362831858407079646017699,2.832535885167464114832535885,2.989795918367346938775510204,2.987755102040816326530612245,2.995024875621890547263681592,3,2.982142857142857142857142857,2.990712074303405572755417957,2.985436893203883495145631068,0.9128630705394190871369294606,0.9170506912442396313364055300,1.115,2.591760299625468164794007491,3,3,3,3,3,3,2.175438596491228070175438596,3,2.995192307692307692307692308,3,1.469565217391304347826086957,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.9124423963133640552995391705,1.013452914798206278026905830,1.123456790123456790123456790,1.226666666666666666666666667,1.330357142857142857142857143,2.651821862348178137651821862,3,3,2.288537549407114624505928854,3,3,2.185365853658536585365853659,3,3,3,3,3,3,3,2.860696517412935323383084577,3,3,2.986725663716814159292035398,3,3,2.397129186602870813397129187,3,3,3,3,2.985294117647058823529411765,2.985576923076923076923076923,2.414285714285714285714285714,0.8986175115207373271889400922
balance,3,0.8990825688073394495412844037,3,3,3,3,3,,3,2.996309963099630996309963100,2.995515695067264573991031390,2.987234042553191489361702128,2.985507246376811594202898551,2.004761904761904761904761905,2.580246913580246913580246914,2.960975609756097560975609756,2.338308457711442786069651741,2.996655518394648829431438127,3,2.981481481481481481481481481,2.483271375464684014869888476,2.622641509433962264150943396,2.996515679442508710801393728,2.996124031007751937984496124,1.803921568627450980392156863,2.468085106382978723404255319,3,3,3,3,3,3,2.759433962264150943396226415,3,2.995633187772925764192139738,3,1.524822695035460992907801418,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.9086757990867579908675799087,1.736641221374045801526717557,1.849557522123893805309734513,1.948598130841121495327102804,2.047846889952153110047846890,2.501779359430604982206405694,3,3,2.241379310344827586206896552,3,3,2.042654028436018957345971564,3,3,3,3,3,3,3,2.688118811881188118811881188,3,3,2.983805668016194331983805668,3,3,2.299539170506912442396313364,3,3,3,3,2.986784140969162995594713656,2.987234042553191489361702128,2.233766233766233766233766234,0.9
balanceDynamic,3,0.9,3,3,3,3,3,3,,2.995073891625615763546798030,2.995798319327731092436974790,2.987854251012145748987854251,2.985074626865671641791044776,1.985576923076923076923076923,2.607287449392712550607287449,2.974424552429667519181585678,2.338028169014084507042253521,2.995475113122171945701357466,3,2.982456140350877192982456140,2.865470852017937219730941704,2.260223048327137546468401487,2.995327102803738317757009346,2.995192307692307692307692308,1.831578947368421052631578947,2.464831804281345565749235474,3,3,3,3,3,3,2.408653846153846153846153846,3,2.995073891625615763546798030,3,1.436123348017621145374449339,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.9068627450980392156862745098,2.032388663967611336032388664,2.119815668202764976958525346,2.236486486486486486486486486,2.259740259740259740259740260,2.507317073170731707317073171,3,3,2.253048780487804878048780488,3,3,2.13,3,3,3,3,3,3,3,2.702325581395348837209302326,3,3,2.983050847457627118644067797,3,3,2.300970873786407766990291262,3,3,3,3,2.985781990521327014218009479,2.985148514851485148514851485,2.224358974358974358974358974,0.8959276018099547511312217195
best-estDetective,4.974468085106382978723404255,0.9883720930232558139534883721,2.996621621621621621621621622,2.996183206106870229007633588,2.995145631067961165048543689,2.995,2.997023809523809523809523810,2.996309963099630996309963100,2.995073891625615763546798030,,2.992424242424242424242424242,2.983552631578947368421052632,2.976190476190476190476190476,2.250909090909090909090909091,2.857142857142857142857142857,2.980582524271844660194174757,2.982532751091703056768558952,2.991803278688524590163934426,2.995575221238938053097345133,2.981412639405204460966542751,2.989821882951653944020356234,2.983870967741935483870967742,2.995260663507109004739336493,2.996212121212121212121212121,1.356557377049180327868852459,2.669856459330143540669856459,2.995934959349593495934959350,1.086538461538461538461538462,2.995098039215686274509803922,2.995145631067961165048543689,0.5274261603375527426160337553,2.996415770609318996415770609,2.716157205240174672489082969,2.995024875621890547263681592,2.991869918699186991869918699,2.995967741935483870967741935,1.696832579185520361990950226,2.995884773662551440329218107,2.995348837209302325581395349,2.995192307692307692307692308,2.995327102803738317757009346,2.995983935742971887550200803,2.995098039215686274509803922,2.995327102803738317757009346,2.996453900709219858156028369,2.995815899581589958158995816,2.996,2.995884773662551440329218107,2.997716894977168949771689498,2.995833333333333333333333333,2.995283018867924528301886792,2.98,2.995145631067961165048543689,0.5115207373271889400921658986,1.025316455696202531645569620,1.358407079646017699115044248,1.595541401273885350318471338,1.774193548387096774193548387,2.534782608695652173913043478,2.995633187772925764192139738,2.996031746031746031746031746,2.488151658767772511848341232,1.072131147540983606557377049,2.995305164319248826291079812,2.867647058823529411764705882,2.995348837209302325581395349,2.995327102803738317757009346,2.996666666666666666666666667,2.996124031007751937984496124,2.995073891625615763546798030,1.055335968379446640316205534,1.516908212560386473429951691,2.830188679245283018867924528,2.995049504950495049504950495,2.995215311004784688995215311,2.981042654028436018957345972,2.996363636363636363636363636,1.165853658536585365853658537,2.004784688995215311004784689,1.672268907563025210084033613,2.995633187772925764192139738,2.674486803519061583577712610,1.067484662576687116564417178,2.979423868312757201646090535,2.986111111111111111111111111,2.518617021276595744680851064,0.9850746268656716417910447761
